,PassengerId,Pclass,Sex,Age,Fare,Cabin,Embarked,Title,FamilySize
0,892,3,0,2.0,0.0,2.0,2,0.0,0.0
1,893,3,1,3.0,0.0,2.0,0,2.0,0.4
2,894,2,0,3.0,0.0,2.0,2,0.0,0.0
3,895,3,0,2.0,0.0,2.0,0,0.0,0.0
4,896,3,1,1.0,0.0,2.0,0,2.0,0.8
5,897,3,0,0.0,0.0,2.0,0,0.0,0.0
6,898,3,1,2.0,0.0,2.0,2,1.0,0.0
7,899,2,0,1.0,1.0,2.0,0,0.0,0.8
8,900,3,1,1.0,0.0,2.0,1,2.0,0.0
9,901,3,0,1.0,1.0,2.0,0,0.0,0.8
10,902,3,0,2.0,0.0,2.0,0,0.0,0.0
11,903,1,0,3.0,1.0,0.8,0,0.0,0.0
12,904,1,1,1.0,2.0,0.4,0,2.0,0.4
13,905,2,0,4.0,1.0,2.0,0,0.0,0.4
14,906,1,1,3.0,2.0,1.6,0,2.0,0.4
15,907,2,1,1.0,1.0,2.0,1,2.0,0.4
16,908,2,0,2.0,0.0,2.0,2,0.0,0.0
17,909,3,0,1.0,0.0,2.0,1,0.0,0.0
18,910,3,1,2.0,0.0,2.0,0,1.0,0.4
19,911,3,1,3.0,0.0,2.0,1,2.0,0.0
20,912,1,0,3.0,2.0,0.8,1,0.0,0.4
21,913,3,0,0.0,0.0,2.0,0,3.0,0.4
22,914,1,1,3.0,2.0,0.8,0,2.0,0.0
23,915,1,0,1.0,2.0,0.8,1,0.0,0.4
24,916,1,1,3.0,3.0,0.4,1,2.0,1.6
25,917,3,0,3.0,0.0,2.0,0,0.0,0.4
26,918,1,1,1.0,2.0,0.4,1,1.0,0.4
27,919,3,0,1.0,0.0,2.0,1,0.0,0.0
28,920,1,0,3.0,2.0,0.0,0,0.0,0.0
29,921,3,0,2.0,1.0,2.0,1,0.0,0.8
30,922,2,0,3.0,1.0,2.0,0,0.0,0.4
31,923,2,0,1.0,2.0,2.0,0,0.0,0.8
32,924,3,1,2.0,1.0,2.0,0,2.0,1.2
33,925,3,1,3.0,1.0,2.0,0,2.0,1.2
34,926,1,0,2.0,2.0,0.8,1,0.0,0.4
35,927,3,0,1.0,0.0,2.0,1,0.0,0.0
36,928,3,1,1.0,0.0,2.0,0,1.0,0.0
37,929,3,1,1.0,0.0,2.0,0,1.0,0.0
38,930,3,0,1.0,0.0,2.0,0,0.0,0.0
39,931,3,0,2.0,2.0,2.0,0,0.0,0.0
40,932,3,0,3.0,0.0,2.0,1,0.0,0.4
41,933,1,0,2.0,1.0,1.2,0,0.0,0.0
42,934,3,0,3.0,0.0,2.0,0,0.0,0.0
43,935,2,1,2.0,0.0,2.0,0,2.0,0.0
44,936,1,1,3.0,2.0,1.2,0,2.0,0.4
45,937,3,0,1.0,0.0,2.0,0,0.0,0.0
46,938,1,0,3.0,1.0,0.0,1,0.0,0.0
47,939,3,0,2.0,0.0,2.0,2,0.0,0.0
48,940,1,1,3.0,2.0,1.2,1,2.0,0.0
49,941,3,1,2.0,0.0,2.0,0,2.0,0.8
50,942,1,0,1.0,2.0,0.8,0,0.0,0.4
51,943,2,0,2.0,0.0,2.0,1,0.0,0.0
52,944,2,1,1.0,1.0,2.0,0,1.0,1.2
53,945,1,1,2.0,3.0,0.8,0,1.0,2.0
54,946,2,0,2.0,0.0,2.0,1,0.0,0.0
55,947,3,0,0.0,1.0,2.0,2,3.0,2.0
56,948,3,0,2.0,0.0,2.0,0,0.0,0.0
57,949,3,0,1.0,0.0,2.0,0,0.0,0.0
58,950,3,0,2.0,0.0,2.0,0,0.0,0.4
59,951,1,1,2.0,3.0,0.4,1,1.0,0.0
60,952,3,0,1.0,0.0,2.0,0,0.0,0.0
61,953,2,0,2.0,0.0,2.0,0,0.0,0.0
62,954,3,0,1.0,0.0,2.0,0,0.0,0.0
63,955,3,1,1.0,0.0,2.0,2,1.0,0.0
64,956,1,0,0.0,3.0,0.4,1,3.0,1.6
65,957,2,1,3.0,1.0,2.0,0,2.0,0.0
66,958,3,1,1.0,0.0,2.0,2,1.0,0.0
67,959,1,0,3.0,2.0,0.8,0,0.0,0.0
68,960,1,0,2.0,1.0,0.8,1,0.0,0.0
69,961,1,1,3.0,3.0,0.8,0,2.0,2.0
70,962,3,1,1.0,0.0,2.0,2,1.0,0.0
71,963,3,0,1.0,0.0,2.0,0,0.0,0.0
72,964,3,1,2.0,0.0,2.0,0,1.0,0.0
73,965,1,0,2.0,1.0,1.2,1,0.0,0.0
74,966,1,1,2.0,3.0,0.8,1,1.0,0.0
75,967,1,0,2.0,3.0,0.8,1,0.0,0.0
76,968,3,0,2.0,0.0,2.0,0,0.0,0.0
77,969,1,1,3.0,1.0,0.8,0,2.0,0.8
78,970,2,0,2.0,0.0,2.0,0,0.0,0.0
79,971,3,1,1.0,0.0,2.0,2,1.0,0.0
80,972,3,0,0.0,0.0,2.0,1,3.0,0.8
81,973,1,0,4.0,3.0,0.8,0,0.0,0.4
82,974,1,0,3.0,1.0,0.8,0,0.0,0.0
83,975,3,0,2.0,0.0,2.0,0,0.0,0.0
84,976,2,0,2.0,0.0,2.0,2,0.0,0.0
85,977,3,0,2.0,0.0,2.0,1,0.0,0.4
86,978,3,1,2.0,0.0,2.0,2,1.0,0.0
87,979,3,1,1.0,0.0,2.0,0,1.0,0.0
88,980,3,1,0.0,0.0,2.0,2,3.0,0.0
89,981,2,0,0.0,1.0,2.0,0,3.0,0.8
90,982,3,1,1.0,0.0,2.0,0,2.0,0.4
91,983,3,0,2.0,0.0,2.0,0,0.0,0.0
92,984,1,1,2.0,2.0,0.4,0,2.0,1.2
93,985,3,0,2.0,0.0,2.0,0,0.0,0.0
94,986,1,0,1.0,1.0,0.8,1,0.0,0.0
95,987,3,0,1.0,0.0,2.0,0,0.0,0.0
96,988,1,1,4.0,2.0,0.8,0,2.0,0.4
97,989,3,0,2.0,0.0,2.0,0,0.0,0.0
98,990,3,1,1.0,0.0,2.0,0,1.0,0.0
99,991,3,0,2.0,0.0,2.0,0,0.0,0.0
100,992,1,1,3.0,2.0,0.8,1,2.0,0.4
101,993,2,0,2.0,1.0,2.0,0,0.0,0.4
102,994,3,0,2.0,0.0,2.0,2,0.0,0.0
